filename,dcsr_compile,dcsr_assemble,dcsr_mean,dcsr_stdev,dcsr_median
k16_0.899_0.537_0.537_0.561_c862-r4_c4.tns,c size: (4 x 4), 136 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c8.tns,c size: (4 x 8), 264 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c16.tns,B size: (16384 x 4096 x 4 x 16), 79871260 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c32.tns,c size: (4 x 32), 1032 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c64.tns,B size: (16384 x 1024 x 4 x 64), 77013812 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c128.tns,B size: (16384 x 512 x 4 x 128), 74042820 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c256.tns,B size: (16384 x 256 x 4 x 256), 69577084 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c512.tns,B size: (16384 x 128 x 4 x 512), 63610092 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c1024.tns,B size: (16384 x 64 x 4 x 1024), 56678964 bytes
k16_0.899_0.537_0.537_0.561_c862-r4_c2048.tns,B size: (16384 x 32 x 4 x 2048), 49793436 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c4.tns,c size: (8 x 4), 264 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c8.tns,c size: (8 x 8), 520 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c16.tns,B size: (8192 x 4096 x 8 x 16), 78972212 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c32.tns,B size: (8192 x 2048 x 8 x 32), 77344700 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c64.tns,B size: (8192 x 1024 x 8 x 64), 74701580 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c128.tns,B size: (8192 x 512 x 8 x 128), 70798236 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c256.tns,B size: (8192 x 256 x 8 x 256), 65657820 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c512.tns,B size: (8192 x 128 x 8 x 512), 59698900 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c1024.tns,B size: (8192 x 64 x 8 x 1024), 53564300 bytes
k16_0.899_0.537_0.537_0.561_c862-r8_c2048.tns,B size: (8192 x 32 x 8 x 2048), 47801060 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c4.tns,c size: (16 x 4), 520 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c8.tns,c size: (16 x 8), 1032 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c16.tns,c size: (16 x 16), 2056 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c32.tns,B size: (4096 x 2048 x 16 x 32), 75043972 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c64.tns,B size: (4096 x 1024 x 16 x 64), 71485772 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c128.tns,B size: (4096 x 512 x 16 x 128), 66926220 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c256.tns,B size: (4096 x 256 x 16 x 256), 61803668 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c512.tns,B size: (4096 x 128 x 16 x 512), 56633396 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c1024.tns,B size: (4096 x 64 x 16 x 1024), 51608300 bytes
k16_0.899_0.537_0.537_0.561_c862-r16_c2048.tns,B size: (4096 x 32 x 16 x 2048), 46731604 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c4.tns,c size: (32 x 4), 1032 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c8.tns,c size: (32 x 8), 2056 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c16.tns,c size: (32 x 16), 4104 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c32.tns,c size: (32 x 32), 8200 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c64.tns,B size: (2048 x 1024 x 32 x 64), 67644196 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c128.tns,B size: (2048 x 512 x 32 x 128), 63116844 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c256.tns,B size: (2048 x 256 x 32 x 256), 58773844 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c512.tns,B size: (2048 x 128 x 32 x 512), 54699604 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c1024.tns,B size: (2048 x 64 x 32 x 1024), 50555132 bytes
k16_0.899_0.537_0.537_0.561_c862-r32_c2048.tns,B size: (2048 x 32 x 32 x 2048), 46191092 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c4.tns,c size: (64 x 4), 2056 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c8.tns,c size: (64 x 8), 4104 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c16.tns,c size: (64 x 16), 8200 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c32.tns,c size: (64 x 32), 16392 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c64.tns,c size: (64 x 64), 32776 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c128.tns,B size: (1024 x 512 x 64 x 128), 60110252 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c256.tns,B size: (1024 x 256 x 64 x 256), 56852780 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c512.tns,B size: (1024 x 128 x 64 x 512), 53654996 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c1024.tns,B size: (1024 x 64 x 64 x 1024), 50022876 bytes
k16_0.899_0.537_0.537_0.561_c862-r64_c2048.tns,B size: (1024 x 32 x 64 x 2048), 45920756 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c4.tns,c size: (128 x 4), 4104 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c8.tns,c size: (128 x 8), 8200 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c16.tns,c size: (128 x 16), 16392 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c32.tns,c size: (128 x 32), 32776 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c64.tns,c size: (128 x 64), 65544 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c128.tns,c size: (128 x 128), 131080 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c256.tns,B size: (512 x 256 x 128 x 256), 55812916 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c512.tns,B size: (512 x 128 x 128 x 512), 53126836 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c1024.tns,B size: (512 x 64 x 128 x 1024), 49756636 bytes
k16_0.899_0.537_0.537_0.561_c862-r128_c2048.tns,B size: (512 x 32 x 128 x 2048), 45785588 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c4.tns,c size: (256 x 4), 8200 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c8.tns,c size: (256 x 8), 16392 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c16.tns,c size: (256 x 16), 32776 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c32.tns,c size: (256 x 32), 65544 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c64.tns,c size: (256 x 64), 131080 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c128.tns,c size: (256 x 128), 262152 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c256.tns,c size: (256 x 256), 524296 bytes
k16_0.899_0.537_0.537_0.561_c862-r256_c512.tns,B size: (256 x 128 x 256 x 512), 52862652 bytes
